"File.Name","Date","Notes","Latitude","Longitude","Accuracy","Locality","Country","State","CommonNames","ScientificName","associatedTaxa","Families","Date_YYYYMMDD"
"5319b_5314-068.jpg","3/19/05","9706572 Pretty flowers of <b>Blue Dick</b> (<i>Dichelostemma capitatum</i>), aka <b>Brodiaea</b> for the squeamish. It's framed by the introduced annual grasses that are trying to smother it out. (Santa Ynez Valley, 14 March 2005)",NA,NA,NA,"Santa Ynez Valley","United States","California","Blue Dick; Brodiaea","Dichelostemma capitatum","Dichelostemma capitatum",NA,"2005-03-19"
"5319c_5314-054.jpg","3/19/05","9706553 I believe this pretty wildflower is native <b>Sky Lupine</b> (<i>Lupinus nanus<i>). It has a fragrance. (Santa Ynez Valley, 14 March 2005)",NA,NA,NA,"Santa Ynez Valley","United States","California","Sky Lupine",NA,NA,NA,"2005-03-19"
"5319d_5314-062.jpg","3/19/05","9706517 Tiny fly resting on a flower of native <b>Johnny-Jump-Up</b> (<i>Viola pedunculata</i>). (Santa Ynez Valley, 14 March 2005)",NA,NA,NA,"Santa Ynez Valley","United States","California","Johnny-Jump-Up","Viola pedunculata","Viola pedunculata",NA,"2005-03-19"
"5327a_5323-082.jpg","3/27/05","9763704 What a surprise to find this brilliant native <b>Scarlet Milkvetch</b> (<i>Astragalus coccineus</i>) flowering in a crack on the exposed bare rock on the windy gap through Optimo in the upper Pinto Basin. (Joshua Tree, 23 March 2005) <P>We backpacked across the upper Pinto Basin in Joshua Tree National Park last week on our school trip, hiking from White Tank across the flats and up a beautiful wash to Lost Horse Mine. It was cold and windy all week. We had 1/4 inch of rain on Tuesday night and frost on our tents Friday morning! That's not my choice for a spring desert trip, though I did find new flowers to photograph and we had a great time surviving the elements. Reptiles and butterflies are just starting to appear. It's an interesting year in California with so much rain.",NA,NA,NA,"Joshua Tree","United States","California","Scarlet Milkvetch","Astragalus coccineus","Astragalus coccineus",NA,"2005-03-27"
"5327b_5322-061.jpg","3/27/05","9763030 Beautiful flower of native <b>Desert Bluebells</b> (<i>Phacelia campanularia</i>) growing in a rocky desert wash. It's stunning to find such rich flowers in this harsh desert landscape. (Joshua Tree, 22 March 2005)",NA,NA,NA,"Joshua Tree","United States","California","Desert Bluebells","Phacelia campanularia","Phacelia campanularia",NA,"2005-03-27"
"5327c_5323-119.jpg","3/27/05","9762864 Beautiful native daisy - maybe <b>Mojave Desertstar</b> (<i>Monoptilon bellidiforme</i>) - growing on the sand flats of the Pinto Basin. (Joshua Tree, 23 March 2005)",NA,NA,NA,"Joshua Tree","United States","California","Mojave Desertstar","Monoptilon bellidiforme","Monoptilon bellidiforme",NA,"2005-03-27"
"5327d_5324-041.jpg","3/27/05","9762769 Strange flowers and stranger fruit of <b>Turpentine Broom</b> aka <b>Mohave Desert Rue</b> (<i>Thamnosma montana</i>) in the desert. It's a little subshrub in the <b>Rue</b> (<i>Rutaceae</i>) family. (Joshua Tree, 24 March 2005)",NA,NA,NA,"Joshua Tree","United States","California","Turpentine Broom; Mohave Desert Rue; Rue","Thamnosma montana; Rutaceae","Thamnosma montana; Rutaceae","Rutaceae","2005-03-27"
"5327e_5324-024.jpg","3/27/05","9762665 Intricate spines at the top of a little <b>Hedgehog Cactus</b> (<i>Echinocereus</i> sp. or kin) in the desert. We didn't find any cacti flowering yet, though some are getting ready. (Joshua Tree, 24 March 2005)",NA,NA,NA,"Joshua Tree","United States","California","Hedgehog Cactus","Echinocereus","Echinocereus",NA,"2005-03-27"
"5327f_5324-008.jpg","3/27/05","9762461 Me and Julie backpacking across the Pinto Basin in Joshua Tree National Park last week on our school trip. We're both desert rats at heart, and starting to show it. I used my monopod for my walking stick and took many photos. (Joshua Tree, 24 March 2005)",NA,NA,NA,"Joshua Tree","United States","California",NA,NA,NA,NA,"2005-03-27"
"5328a_5322-062.jpg","3/28/05","9772606 Elegant ""scorpioid"" <i>cyme</i> flower head of native <b>Desert Bluebells</b> (<i>Phacelia campanularia</i>) growing in a rocky desert wash in Joshua Tree National Park. The two inch long flowers are so blue, but the geometry of the flowers and buds is equally impressive. The flower stalk is curled up like a scorpion`s tail. New flowers get ready to open as the stem unrolls, and the old flowers fall away as seeds develop. It's a good strategy that lets the plants keep unrolling to make new flowers as long as they can. (Joshua Tree, 22 March 2005) <P>Today's photos are all from my school backpack trip across the upper Pinto Basin in Joshua Tree National Park last week as we hiked from White Tank across the flats and up a beautiful wash to Lost Horse Mine. It was cold and windy all week. We had 1/4 inch of rain on Tuesday night and frost on our tents Friday morning! That's not my choice for a spring desert trip, though I did find new flowers to photograph and we all had a great time surviving the elements. It's an interesting year in California with so much rain!",NA,NA,NA,"Joshua Tree","United States","California","Desert Bluebells","cyme; Phacelia campanularia","cyme; Phacelia campanularia",NA,"2005-03-28"
